Date,BTC,ETH,BNB,XRP,ADA,CRIX
2020-10-26,13075.248047,393.888306,31.15456,0.248688,0.103097,973.54
2020-10-27,13654.21875,403.99704,31.638721,0.252899,0.102827,1017.28
2020-10-28,13271.285156,388.650757,30.363506,0.245865,0.098977,977.68
2020-10-29,13437.882813,386.730103,29.842478,0.242295,0.095376,996.32
2020-10-30,13546.522461,382.819977,28.508411,0.239184,0.093369,993.86
2020-10-31,13780.995117,386.590332,28.431215,0.239744,0.093056,996.8199999999999
2020-11-01,13737.109375,396.358185,28.461565,0.239797,0.098197,998.3
2020-11-02,13550.489258,383.156738,27.88393,0.235421,0.092143,999.78
2020-11-03,13950.300781,387.602173,26.85705,0.23951,0.093434,1000.15
2020-11-04,14133.707031,402.141998,26.931515,0.237793,0.095369,1023.89
2020-11-05,15579.848633,414.067352,27.675859,0.245776,0.096994,1090.11
2020-11-06,15565.880859,454.719299,29.018,0.258445,0.109105,1126.97
2020-11-07,14833.753906,435.713135,27.738094,0.249582,0.101379,1123.83
2020-11-08,15479.567383,453.554779,28.305117,0.253939,0.106621,1122.26
2020-11-09,15332.31543,444.163055,28.018021,0.250748,0.105325,1120.69
2020-11-10,15290.902344,449.679626,28.193342,0.253911,0.105805,1118.28
2020-11-11,15701.339844,462.960541,27.956179,0.256259,0.105965,1148.09
2020-11-12,16276.34375,461.00528,27.614807,0.254903,0.104525,1167.63
2020-11-13,16317.808594,474.626434,28.182173,0.265191,0.106391,1179.71
2020-11-14,16068.138672,460.149841,27.936201,0.268342,0.104202,1195.755
2020-11-15,15955.587891,447.559082,27.621031,0.269642,0.100531,1203.7775000000001
2020-11-16,16716.111328,459.940308,28.06411,0.28552,0.104008,1211.8
2020-11-17,17645.40625,480.360077,28.530581,0.302408,0.1096,1273.01
2020-11-18,17804.005859,479.48407,28.076162,0.294222,0.106403,1261.95
2020-11-19,17817.089844,471.630432,28.094105,0.303766,0.105866,1289.29
2020-11-20,18621.314453,509.744568,28.891996,0.328068,0.118226,1340.46
2020-11-21,18642.232422,549.486633,30.391291,0.458344,0.132945,1367.915
2020-11-22,18370.001953,558.068115,29.925072,0.4437,0.14476,1381.6425
2020-11-23,18364.121094,608.454041,30.965368,0.61398,0.15351,1395.37
2020-11-24,19107.464844,603.897766,33.80315,0.692103,0.166323,1462.16
2020-11-25,18732.121094,570.686646,31.34296,0.635483,0.155162,1426.43
2020-11-26,17150.623047,518.801147,28.204916,0.533019,0.138281,1287.94
2020-11-27,17108.402344,517.493713,28.475187,0.559268,0.141028,1275.12
2020-11-28,17717.414063,538.229797,29.143911,0.625622,0.164791,1368.81
2020-11-29,18177.484375,575.758057,30.117603,0.606246,0.166639,1415.655
2020-11-30,19625.835938,614.842529,31.392786,0.664337,0.171308,1462.5
2020-12-01,18802.998047,587.324158,30.108303,0.612923,0.155983,1430.88
2020-12-02,19201.091797,598.352356,30.297361,0.629893,0.158557,1436.65
2020-12-03,19445.398438,616.70874,30.70443,0.631483,0.164212,1457.96
2020-12-04,18699.765625,569.354187,29.072208,0.557262,0.148241,1418.02
2020-12-05,19154.230469,596.595459,29.729488,0.584421,0.159668,1419.775
2020-12-06,19345.121094,601.908997,29.540804,0.619851,0.158867,1420.6525000000001
2020-12-07,19191.630859,591.843384,29.378136,0.608934,0.15413,1421.53
2020-12-08,18321.144531,554.827759,27.636307,0.558836,0.140928,1383.85
2020-12-09,18553.916016,573.479126,28.129305,0.58359,0.148165,1369.93
2020-12-10,18264.992188,559.678528,27.69619,0.572954,0.141994,1369.35
2020-12-11,18058.904297,545.797363,27.361004,0.546483,0.139449,1336.79
2020-12-12,18803.65625,568.567322,28.164452,0.506401,0.14446,1377.53
2020-12-13,19142.382813,589.663208,29.101692,0.511464,0.153964,1397.9
2020-12-14,19246.644531,586.011169,30.029577,0.497712,0.157992,1418.27
2020-12-15,19417.076172,589.355591,29.547283,0.46971,0.154305,1438.18
2020-12-16,21310.597656,636.181824,30.490194,0.568628,0.167589,1530.47
2020-12-17,22805.162109,642.868958,30.184134,0.576677,0.163483,1655.2
2020-12-18,23137.960938,654.811951,30.93836,0.58428,0.164988,1655.12
2020-12-19,23869.832031,659.297913,33.296356,0.579163,0.164714,1643.73
2020-12-20,23477.294922,638.290833,34.160297,0.556058,0.161988,1638.0349999999999
2020-12-21,22803.082031,609.817871,32.269527,0.516944,0.152656,1632.34
2020-12-22,23783.029297,634.854187,33.482948,0.448448,0.156179,1664.49
2020-12-23,23241.345703,583.7146,31.097898,0.258602,0.136394,1627.5
2020-12-24,23735.949219,611.607178,32.500591,0.337819,0.152883,1628.22
2020-12-25,24664.791016,626.410706,33.164974,0.318091,0.157564,1697.59
2020-12-26,26437.037109,635.835815,33.477139,0.294713,0.157824,1784.25
2020-12-27,26272.294922,682.642334,33.511848,0.283039,0.154422,1827.58
2020-12-28,27084.808594,730.397339,35.844559,0.247958,0.176735,1870.91
2020-12-29,27362.4375,731.520142,38.952831,0.220962,0.192164,1867.91
2020-12-30,28840.953125,751.618958,38.136299,0.211828,0.18404,1972.05
2020-12-31,29001.720703,737.803406,37.376034,0.219846,0.181397,1993.76
2021-01-01,29374.152344,730.367554,37.90501,0.237444,0.17535,1998.79
2021-01-02,32127.267578,774.534973,38.241592,0.221655,0.177423,2110.325
